"product_id","name","sales"
1004,"Field & Stream Sportsman 16 Gun Fire Safe",879956.02
1351,"Dell Laptop",663000.00
365,"Perfect Fitness Perfect Rip Deck",524552.57
957,"Diamondback Women's Serene Classic Comfort Bi",504866.36
191,"Nike Men's Free 5.0+ Running Shoe",446155.38
1073,"Pelican Sunstream 100 Kayak",388980.57
502,"Nike Men's Dri-FIT Victory Golf Polo",386450.00
403,"Nike Men's CJ Elite 2 TD Football Cleat",357992.48
1014,"O'Brien Men's Neoprene Life Vest",333066.72
1349,"Web Camera",267607.69
1350,"Children's heaters",232829.21
1353,"Porcelain crafts",223356.32
1355,"Lawn mower",206641.05
627,"Under Armour Girls' Toddler Spine Surge Runni",155721.06
1352,"Industrial consumer electronics",108991.28
1358,"Rock music",75588.50
1356,"First aid kit",70036.56
1354,"DVDs ",66902.66
1363,"Summer dresses",58703.04
1360,"Smart watch ",47523.75
1357,"Men's gala suit",37320.45
208,"SOLE E35 Elliptical",29999.85
1359,"Adult dog supplies",20762.40
724,"LIJA Women's Mid-Length Panel Golf Shorts",18400.00
258,"Nike Women's Free 5.0 TR FIT PRT 4 Training S",16053.31
646,"Merrell Women's Grassbow Sport Hiking Shoe",15098.49
359,"Nike Men's Free TR 5.0 TB Training Shoe",14798.52
295,"Fitbit The One Wireless Activity & Sleep Trac",14592.70
677,"TaylorMade White Smoke IN-12 Putter",14498.55
251,"Brooks Women's Ghost 6 Running Shoe",14038.44
303,"Garmin Forerunner 910XT GPS Watch",13999.65
1059,"Pelican Maverick 100X Kayak",13999.60
981,"The North Face Women's Recon Backpack",13959.00
607,"Garmin Approach S3 Golf GPS Watch",13249.47
306,"Polar FT4 Heart Rate Monitor",12958.56
78,"Nike Kids' Grade School KD VI Basketball Shoe",12898.71
203,"GoPro HERO3+ Black Edition Camera",12799.68
1346,"Sports Books ",12587.40
1347,"Baby sweater",12229.56
24,"Elevation Training Mask 2.0",11838.52
730,"LIJA Women's Argyle Golf Polo",11520.00
773,"Titleist Small Wheeled Travel Cover",10999.56
364,"Total Gym 1400",10799.64
845,"Garmin Approach S4 Golf GPS Watch",10799.64
777,"Bag Boy M330 Push Cart",10718.66
768,"Titleist Club Glove Travel Cover",10199.66
216,"Yakima DoubleDown Ace Hitch Mount 4-Bike Rack",10017.00
60,"SOLE E25 Elliptical",9999.90
671,"Cleveland Golf Collegiate My Custom Wedge 588",9449.55
305,"Mio ALPHA Heart Rate Monitor/Sport Watch",9154.00
1362,"Fighting video games",9063.00
127,"Stiga Master Series ST3100 Competition Indoor",8909.73
58,"Diamondback Boys' Insight 24 Performance Hybr",8699.71
691,"MDGolf Pittsburgh Penguins Putter",8558.93
786,"TaylorMade 2014 Purelite Stand Bag",8459.53
61,"Diamondback Girls' Clarity 24 Hybrid Bike 201",8399.72
858,"GolfBuddy VT3 GPS Watch",8399.58
625,"Nike Men's Kobe IX Elite Low Basketball Shoe",8199.59
666,"Merrell Men's All Out Flash Trail Running Sho",7259.34
35,"adidas Brazuca 2014 Official Match Ball",7199.55
715,"TaylorMade Women's RBZ SL Rescue",6759.48
743,"Ogio Race Golf Shoes",6629.61
860,"Bushnell Pro X7 Jolt Slope Rangefinder",6599.89
705,"Cleveland Golf Women's 588 RTX CB Satin Chrom",6239.48
19,"Nike Men's Fingertrap Max Training Shoe",6124.51
226,"Bowflex SelectTech 1090 Dumbbells",5999.90
725,"LIJA Women's Button Golf Dress",5940.00
647,"Merrell Women's Siren Mid Waterproof Hiking B",5669.58
982,"insta-bed Neverflat Air Mattress",5549.63
652,"Merrell Women's Grassbow Sport Waterproof Hik",5459.58
311,"Polar Loop Activity Tracker",4288.05
1348,"CDs of rock",3059.59
1361,"Toys ",2919.62
